+----------------+------------------+-------------+-------------------+-------------+--------------+
| GPIO Pin Number| GPIO Signal Name | Bank Number | Control Registers | Register Bit| Register Field
+----------------+------------------+-------------+-------------------+-------------+--------------+
| 1              | GP0[0]           | 0           | register_name01   | Bit 0       | GP0P0        |
| 2              | GP0[1]           | 0           | register_name01   | Bit 1       | GP0P1        |
| 3              | GP0[2]           | 0           | register_name01   | Bit 2       | GP0P2        |
| 4              | GP0[3]           | 0           | register_name01   | Bit 3       | GP0P3        |
| 5              | GP0[4]           | 0           | register_name01   | Bit 4       | GP0P4        |
| 6              | GP0[5]           | 0           | register_name01   | Bit 5       | GP0P5        |
| 7              | GP0[6]           | 0           | register_name01   | Bit 6       | GP0P6        |
| 8              | GP0[7]           | 0           | register_name01   | Bit 7       | GP0P7        |
| 9              | GP0[8]           | 0           | register_name01   | Bit 8       | GP0P8        |
| 10             | GP0[9]           | 0           | register_name01   | Bit 9       | GP0P9        |
| 11             | GP0[10]          | 0           | register_name01   | Bit 10      | GP0P10       |
| 12             | GP0[11]          | 0           | register_name01   | Bit 11      | GP0P11       |
| 13             | GP0[12]          | 0           | register_name01   | Bit 12      | GP0P12       |
| 14             | GP0[13]          | 0           | register_name01   | Bit 13      | GP0P13       |
| 15             | GP0[14]          | 0           | register_name01   | Bit 14      | GP0P14       |
| 16             | GP0[15]          | 0           | register_name01   | Bit 15      | GP0P15       |
| 17             | GP1[0]           | 1           | register_name01   | Bit 16      | GP1P0        |
| 18             | GP1[1]           | 1           | register_name01   | Bit 17      | GP1P1        |
| 19             | GP1[2]           | 1           | register_name01   | Bit 18      | GP1P2        |
| 20             | GP1[3]           | 1           | register_name01   | Bit 19      | GP1P3        |
| 21             | GP1[4]           | 1           | register_name01   | Bit 20      | GP1P4        |
| 22             | GP1[5]           | 1           | register_name01   | Bit 21      | GP1P5        |
| 23             | GP1[6]           | 1           | register_name01   | Bit 22      | GP1P6        |
| 24             | GP1[7]           | 1           | register_name01   | Bit 23      | GP1P7        |
| 25             | GP1[8]           | 1           | register_name01   | Bit 24      | GP1P8        |
| 26             | GP1[9]           | 1           | register_name01   | Bit 25      | GP1P9        |
| 27             | GP1[10]          | 1           | register_name01   | Bit 26      | GP1P10       |
| 28             | GP1[11]          | 1           | register_name01   | Bit 27      | GP1P11       |
| 29             | GP1[12]          | 1           | register_name01   | Bit 28      | GP1P12       |
| 30             | GP1[13]          | 1           | register_name01   | Bit 29      | GP1P13       |
| 31             | GP1[14]          | 1           | register_name01   | Bit 30      | GP1P14       |
| 32             | GP1[15]          | 1           | register_name01   | Bit 31      | GP1P15       |
| 33             | GP2[0]           | 2           | register_name23   | Bit 0       | GP2P0        |
| 34             | GP2[1]           | 2           | register_name23   | Bit 1       | GP2P1        |
| 35             | GP2[2]           | 2           | register_name23   | Bit 2       | GP2P2        |
| 36             | GP2[3]           | 2           | register_name23   | Bit 3       | GP2P3        |
| 37             | GP2[4]           | 2           | register_name23   | Bit 4       | GP2P4        |
| 38             | GP2[5]           | 2           | register_name23   | Bit 5       | GP2P5        |
| 39             | GP2[6]           | 2           | register_name23   | Bit 6       | GP2P6        |
| 40             | GP2[7]           | 2           | register_name23   | Bit 7       | GP2P7        |
| 41             | GP2[8]           | 2           | register_name23   | Bit 8       | GP2P8        |
| 42             | GP2[9]           | 2           | register_name23   | Bit 9       | GP2P9        |
| 43             | GP2[10]          | 2           | register_name23   | Bit 10      | GP2P10       |
| 44             | GP2[11]          | 2           | register_name23   | Bit 11      | GP2P11       |
| 45             | GP2[12]          | 2           | register_name23   | Bit 12      | GP2P12       |
| 46             | GP2[13]          | 2           | register_name23   | Bit 13      | GP2P13       |
| 47             | GP2[14]          | 2           | register_name23   | Bit 14      | GP2P14       |
| 48             | GP2[15]          | 2           | register_name23   | Bit 15      | GP2P15       |
| 49             | GP3[0]           | 3           | register_name23   | Bit 16      | GP3P0        |
